Type,Title,Year of Release,Runtime(mins),Genre
movie,The Other Side of the Wind,2018,122,"Comedy,Drama"
movie,Chief Zabu,2016,74, Comedy
movie,The Wandering Soap Opera,2017,80,"Comedy,Drama,Fantasy"
movie,Joe Finds Grace,2017,83,"Adventure,Animation,Comedy"
movie,Os Monstros de Babaloo,2016,100,Comedy
movie,In Memoriam Alfons Vranckx,2018,90,"Action,Adventure,Comedy"
movie,Bunyan and Babe,2017,84,"Adventure,Animation,Comedy"
movie,Transeúntes,2015,101,"Comedy,Drama"
movie,Nappily Ever After,2018,\N,"Comedy,Drama,Romance"
movie,The Queen of Sheba Meets the Atom Man,2018,110,Comedy
movie,Surviving in L.A.,2018,\N,"Comedy,Drama,Romance"
movie,Escape from Heaven,2018,\N,"Comedy,Fantasy"
movie,"Hail, Caesar!",2016,106,"Comedy,Mystery"
movie,Ant-Man,2015,117,"Action,Adventure,Comedy"
movie,CHIPS,2017,100,"Action,Comedy,Crime"
movie,Have You Seen Me?,2016,\N,Comedy
movie,Manhattan Minutiae,2016,99,"Comedy,Music,Romance"
movie,Maximum Ride,2016,88,"Action,Adventure,Comedy"
movie,Caravaggio and My Mother the Pope,2018,90,"Comedy,Drama"
movie,Krystal,2017,90,"Comedy,Drama"
movie,Pee-wee's Big Holiday,2016,90,"Adventure,Comedy,Family"
movie,Retreat!,2016,\N,"Comedy,Drama,War"
movie,Super Troopers 2,2018,99,"Comedy,Crime,Mystery"
movie,The Wedding Ringer,2015,101,Comedy
movie,The Unlikely's,2016,\N,Comedy
movie,Joe Dick,2017,96,Comedy
movie,Our Brand Is Crisis,2015,107,"Comedy,Drama"
movie,Goosebumps,2015,103,"Adventure,Comedy,Family"
